date,ticker,open,high,low,close,volume,dividend
2006-06-30,AGG,97.55,97.62,97.4,97.44,187400,0.383
2006-07-31,AGG,98.5,98.61,98.4,98.4,491100,0.388
2006-08-31,AGG,99.49,99.72,99.46,99.55,169200,0.409
2006-09-30,AGG,100.22,100.35,100.08,100.16,414400,0.393
2006-10-31,AGG,100.06,100.43,100.02,100.43,189800,0.414
2006-11-30,AGG,100.94,101.13,100.86,101.07,210500,0.422
2006-12-31,AGG,99.73,99.73,99.61,99.7,278800,0.767
2007-01-31,AGG,99.51,99.82,99.43,99.63,386400,0.0
2007-02-28,AGG,100.92,100.96,100.62,100.86,533700,0.393
2007-03-31,AGG,100.42,100.43,100.07,100.26,435200,0.394
2007-04-30,AGG,100.3,100.46,100.24,100.46,298600,0.389
2007-05-31,AGG,99.25,99.35,99.12,99.16,506000,0.382
2007-06-30,AGG,98.31,98.46,98.18,98.36,506700,0.428
2007-07-31,AGG,98.63,99.01,98.6,98.99,529100,0.421
2007-08-31,AGG,99.7,100.09,99.52,99.82,201000,0.431
2007-09-30,AGG,99.98,100.26,99.81,100.02,336100,0.429
2007-10-31,AGG,100.56,100.86,100.41,100.61,767000,0.414
2007-11-30,AGG,101.52,102.11,101.28,101.99,1734300,0.417
2007-12-31,AGG,101.32,101.38,100.85,101.17,708000,0.816
2008-01-31,AGG,103.48,103.62,103.07,103.51,649200,0.0
2008-02-29,AGG,102.9,103.3,102.49,102.93,922900,0.415
2008-03-31,AGG,102.94,103.15,102.68,102.68,555900,0.383
2008-04-30,AGG,101.97,102.6,101.48,102.6,813300,0.415
2008-05-31,AGG,100.96,101.27,100.85,100.98,1132500,0.326
2008-06-30,AGG,100.66,100.76,100.36,100.4,639600,0.394
2008-07-31,AGG,100.37,100.65,100.11,100.41,559600,0.384
2008-08-31,AGG,101.26,101.26,100.42,100.75,701500,0.402
2008-09-30,AGG,98.25,99.29,97.03,98.59,655400,0.394
2008-10-31,AGG,95.54,96.3,95.11,95.96,732700,0.39
2008-11-30,AGG,98.93,99.26,98.1,98.45,294800,0.4
2008-12-31,AGG,104.24,104.33,103.54,104.2,612055,0.779
2009-01-31,AGG,101.65,102.33,101.63,102.13,608300,0.0
2009-02-28,AGG,100.62,100.95,100.5,100.69,463800,0.366
2009-03-31,AGG,101.0,101.47,100.73,101.47,638100,0.327
2009-04-30,AGG,101.33,101.64,100.96,101.64,760700,0.351
2009-05-31,AGG,100.8,102.15,100.8,102.03,1142100,0.329
2009-06-30,AGG,101.98,102.3,101.92,102.15,805500,0.308
2009-07-31,AGG,102.95,103.33,102.75,103.1,1058900,0.342
2009-08-31,AGG,103.75,104.02,103.7,104.02,809600,0.334
2009-09-30,AGG,104.65,104.92,104.64,104.92,818800,0.332
2009-10-31,AGG,104.5,104.84,104.46,104.81,515202,0.342
2009-11-30,AGG,105.63,105.83,105.34,105.83,632700,0.324
2009-12-31,AGG,103.04,103.3,102.78,103.19,651800,0.655
2010-01-31,AGG,104.34,104.72,104.32,104.65,748600,0.0
2010-02-28,AGG,104.5,104.65,104.5,104.53,658600,0.327
2010-03-31,AGG,104.17,104.34,104.15,104.2,808300,0.323
2010-04-30,AGG,104.49,104.95,104.49,104.89,920200,0.321
2010-05-31,AGG,105.58,105.81,105.57,105.71,658900,0.312
2010-06-30,AGG,107.32,107.35,107.04,107.25,1050800,0.324
2010-07-31,AGG,107.94,107.96,107.72,107.85,937100,0.314
2010-08-31,AGG,108.85,108.99,108.74,108.94,737700,0.294
2010-09-30,AGG,108.64,108.7,108.29,108.65,2628600,0.298
2010-10-31,AGG,108.45,108.55,108.36,108.55,963600,0.265
2010-11-30,AGG,107.74,107.74,107.33,107.37,767900,0.276
2010-12-31,AGG,105.38,105.75,105.37,105.75,551600,0.897
2011-01-31,AGG,105.85,105.94,105.59,105.66,1691500,0.0
2011-02-28,AGG,105.53,105.65,105.46,105.65,558200,0.316
2011-03-31,AGG,105.37,105.4,105.13,105.13,1014400,0.285
2011-04-30,AGG,106.24,106.49,106.24,106.46,499153,0.313
2011-05-31,AGG,107.32,107.62,107.28,107.46,1047300,0.316
2011-06-30,AGG,106.87,106.91,106.4,106.67,1295600,0.313
2011-07-31,AGG,107.8,108.2,107.7,108.16,1400700,0.304
2011-08-31,AGG,109.78,109.88,109.49,109.5,2444400,0.3
2011-09-30,AGG,110.0,110.22,109.86,110.11,1020700,0.232
2011-10-31,AGG,109.83,110.03,109.73,110.03,1747000,0.219
2011-11-30,AGG,109.59,109.61,109.27,109.38,1280300,0.287
2011-12-31,AGG,110.51,110.64,110.24,110.25,1098300,0.606
2012-01-31,AGG,110.84,111.07,110.72,111.05,3255900,0.0
2012-02-29,AGG,110.94,110.94,110.6,110.76,1993600,0.275
2012-03-31,AGG,110.11,110.11,109.69,109.85,1121300,0.277
2012-04-30,AGG,110.73,110.73,110.59,110.6,881900,0.243
2012-05-31,AGG,111.45,111.62,111.35,111.56,2984100,0.23
2012-06-30,AGG,111.25,111.33,111.2,111.3,2052800,0.238
2012-07-31,AGG,112.58,112.65,112.43,112.59,983600,0.223
2012-08-31,AGG,112.1,112.43,112.07,112.37,1203400,0.22
2012-09-30,AGG,112.39,112.46,112.25,112.45,2745500,0.219
2012-10-31,AGG,112.04,112.24,112.0,112.19,2200200,0.207
2012-11-30,AGG,112.26,112.32,112.19,112.25,908600,0.243
2012-12-31,AGG,111.25,111.26,111.02,111.08,905400,0.896
2013-01-31,AGG,110.3,110.39,110.26,110.39,1970000,0.0
